Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,First-View Success Rate (%),First-View Raw Reliability,Avg Latency (ms)
90,16,4,5,1000,8.20%,0.082,3.40%,0.034,1125.07
90,18,4,5,1000,59.30%,0.593,20.50%,0.205,1028.54
90,20,4,6,1000,51.90%,0.519,10.10%,0.101,1105.2
90,22,5,7,1000,21.70%,0.217,6.00%,0.06,1212.59
90,24,5,7,1000,70.10%,0.701,22.60%,0.226,965.85
90,26,5,8,1000,63.20%,0.632,7.40%,0.074,1194.01
90,28,5,9,1000,30.20%,0.302,1.90%,0.019,1386.56
90,30,5,9,1000,55.20%,0.552,3.90%,0.039,1267.23
90,32,6,10,1000,52.40%,0.524,8.10%,0.081,1239.28
90,34,6,11,1000,17.60%,0.176,0.60%,0.006,1504.53
90,36,6,11,1000,36.00%,0.36,1.80%,0.018,1385.72
90,38,6,12,1000,9.10%,0.091,4.70%,0.047,870.69
90,40,6,13,1000,4.40%,0.044,1.30%,0.013,1028.11
90,42,6,13,1000,13.10%,0.131,3.60%,0.036,1095.33
90,44,7,14,1000,6.80%,0.068,2.80%,0.028,849.41
90,46,7,15,1000,4.20%,0.042,1.20%,0.012,1178.37
90,48,7,15,1000,12.70%,0.127,5.30%,0.053,1042.92
90,50,7,16,1000,13.40%,0.134,2.80%,0.028,1251.87
90,52,7,17,1000,26.20%,0.262,4.40%,0.044,1301.34
90,54,7,17,1000,52.00%,0.52,12.10%,0.121,1104.84
90,56,7,18,1000,30.60%,0.306,4.90%,0.049,1199.87
90,58,8,19,1000,9.00%,0.09,2.50%,0.025,1244.47
90,60,8,19,1000,26.10%,0.261,7.70%,0.077,1079.66
90,62,8,20,1000,37.40%,0.374,6.90%,0.069,1235.4
90,64,8,21,1000,19.10%,0.191,2.90%,0.029,1316.12
90,66,8,21,1000,35.90%,0.359,5.20%,0.052,1292.76
90,68,8,22,1000,34.40%,0.344,6.90%,0.069,1178.71
90,70,8,23,1000,10.70%,0.107,0.40%,0.004,1408.08
90,72,8,23,1000,17.00%,0.17,0.20%,0.002,1570.79
90,74,9,24,1000,28.00%,0.28,4.40%,0.044,1301.33
90,76,9,25,1000,23.40%,0.234,4.20%,0.042,1292.96
90,78,9,25,1000,34.80%,0.348,6.20%,0.062,1240.63
90,80,9,26,1000,8.10%,0.081,0.20%,0.002,1497.98
90,82,9,27,1000,2.90%,0.029,0.00%,0.0,1762.89
90,84,9,27,1000,9.20%,0.092,3.60%,0.036,918.63
90,86,9,28,1000,6.30%,0.063,1.30%,0.013,1380.68
90,88,9,29,1000,15.70%,0.157,2.90%,0.029,1188.43
90,90,9,29,1000,11.90%,0.119,3.60%,0.036,1103.19
90,92,10,30,1000,10.30%,0.103,2.50%,0.025,1053.08
90,94,10,31,1000,4.70%,0.047,1.50%,0.015,1252.36
90,96,10,31,1000,19.50%,0.195,3.50%,0.035,1454.92
90,98,10,32,1000,16.40%,0.164,4.50%,0.045,1215.88
90,100,10,33,1000,5.20%,0.052,2.00%,0.02,992.32
92,16,4,5,1000,23.10%,0.231,11.60%,0.116,905.11
92,18,4,5,1000,84.50%,0.845,35.20%,0.352,790.59
92,20,4,6,1000,84.00%,0.84,24.90%,0.249,832.33
92,22,5,7,1000,47.70%,0.477,12.60%,0.126,1130.14
92,24,5,7,1000,93.50%,0.935,42.90%,0.429,664.45
92,26,5,8,1000,88.70%,0.887,19.60%,0.196,888.78
92,28,5,9,1000,60.80%,0.608,5.80%,0.058,1248.73
92,30,5,9,1000,81.90%,0.819,8.90%,0.089,1112.54
92,32,6,10,1000,84.70%,0.847,18.90%,0.189,955.23
92,34,6,11,1000,50.90%,0.509,3.80%,0.038,1280.13
92,36,6,11,1000,70.90%,0.709,5.30%,0.053,1205.26
92,38,6,12,1000,25.50%,0.255,13.00%,0.13,732.93
92,40,6,13,1000,20.90%,0.209,3.40%,0.034,1233.24
92,42,6,13,1000,48.30%,0.483,18.40%,0.184,923.35
92,44,7,14,1000,22.80%,0.228,12.60%,0.126,636.24
92,46,7,15,1000,17.50%,0.175,3.80%,0.038,1246.84
92,48,7,15,1000,44.70%,0.447,16.20%,0.162,971.66
92,50,7,16,1000,50.90%,0.509,14.40%,0.144,1016.08
92,52,7,17,1000,69.90%,0.699,19.50%,0.195,1009.78
92,54,7,17,1000,91.20%,0.912,33.20%,0.332,739.05
92,56,7,18,1000,75.00%,0.75,18.20%,0.182,988.7
92,58,8,19,1000,46.80%,0.468,13.60%,0.136,1114.51
92,60,8,19,1000,73.50%,0.735,25.30%,0.253,920.91
92,62,8,20,1000,87.70%,0.877,27.90%,0.279,878.02
92,64,8,21,1000,61.90%,0.619,14.30%,0.143,1071.11
92,66,8,21,1000,83.20%,0.832,19.70%,0.197,973.95
92,68,8,22,1000,79.00%,0.79,21.90%,0.219,960.03
92,70,8,23,1000,39.10%,0.391,1.10%,0.011,1458.89
92,72,8,23,1000,49.70%,0.497,2.00%,0.02,1380.02
92,74,9,24,1000,73.30%,0.733,17.10%,0.171,1061.01
92,76,9,25,1000,66.40%,0.664,15.40%,0.154,1107.63
92,78,9,25,1000,78.60%,0.786,22.00%,0.22,992.82
92,80,9,26,1000,33.40%,0.334,0.60%,0.006,1508.64
92,82,9,27,1000,15.20%,0.152,0.60%,0.006,1641.53
92,84,9,27,1000,41.80%,0.418,14.60%,0.146,1048.04
92,86,9,28,1000,37.30%,0.373,7.90%,0.079,1261.35
92,88,9,29,1000,69.00%,0.69,17.20%,0.172,1085.36
92,90,9,29,1000,66.60%,0.666,24.40%,0.244,923.59
92,92,10,30,1000,42.50%,0.425,12.80%,0.128,1058.8
92,94,10,31,1000,29.30%,0.293,8.70%,0.087,1180.82
92,96,10,31,1000,76.80%,0.768,22.20%,0.222,1010.57
92,98,10,32,1000,70.20%,0.702,24.00%,0.24,957.53
92,100,10,33,1000,54.40%,0.544,17.00%,0.17,1086.71
94,16,4,5,1000,50.30%,0.503,25.00%,0.25,893.59
94,18,4,5,1000,96.90%,0.969,55.80%,0.558,482.97
94,20,4,6,1000,97.60%,0.976,42.90%,0.429,549.62
94,22,5,7,1000,84.10%,0.841,31.20%,0.312,832.53
94,24,5,7,1000,99.70%,0.997,68.40%,0.684,306.8
94,26,5,8,1000,99.10%,0.991,40.70%,0.407,513.29
94,28,5,9,1000,89.30%,0.893,13.10%,0.131,994.87
94,30,5,9,1000,97.20%,0.972,17.00%,0.17,780.96
94,32,6,10,1000,98.10%,0.981,38.00%,0.38,560.08
94,34,6,11,1000,82.70%,0.827,8.30%,0.083,1096.69
94,36,6,11,1000,94.90%,0.949,13.70%,0.137,908.1
94,38,6,12,1000,56.80%,0.568,30.50%,0.305,679.62
94,40,6,13,1000,61.40%,0.614,13.80%,0.138,1041.84
94,42,6,13,1000,90.10%,0.901,47.40%,0.474,593.66
94,44,7,14,1000,56.20%,0.562,29.40%,0.294,720.77
94,46,7,15,1000,61.50%,0.615,15.00%,0.15,1038.78
94,48,7,15,1000,90.00%,0.9,46.90%,0.469,590.7
94,50,7,16,1000,94.20%,0.942,44.90%,0.449,593.11
94,52,7,17,1000,98.00%,0.98,49.60%,0.496,482.81
94,54,7,17,1000,99.90%,0.999,65.20%,0.652,297.94
94,56,7,18,1000,98.00%,0.98,44.30%,0.443,540.11
94,58,8,19,1000,92.10%,0.921,38.70%,0.387,696.05
94,60,8,19,1000,99.00%,0.99,57.60%,0.576,419.72
