Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,Avg Latency (ms)
85,16,4,5,1000,0.10%,0.001,11.1
85,20,4,6,1000,0.60%,0.006,102.48
85,25,5,8,1000,0.40%,0.004,22.22
85,36,6,11,1000,0.00%,0.0,0.0
85,40,6,13,1000,0.00%,0.0,0.0
85,49,7,16,1000,0.00%,0.0,0.0
86,16,4,5,1000,0.70%,0.007,11.02
86,20,4,6,1000,2.00%,0.02,68.04
86,25,5,8,1000,0.40%,0.004,22.02
86,36,6,11,1000,0.20%,0.002,23.54
86,40,6,13,1000,0.00%,0.0,0.0
86,49,7,16,1000,0.00%,0.0,0.0
87,16,4,5,1000,0.50%,0.005,10.62
87,20,4,6,1000,3.70%,0.037,70.25
87,25,5,8,1000,0.70%,0.007,21.88
87,36,6,11,1000,0.40%,0.004,22.64
87,40,6,13,1000,0.10%,0.001,21.7
87,49,7,16,1000,0.30%,0.003,31.95
88,16,4,5,1000,1.60%,0.016,43.57
88,20,4,6,1000,5.00%,0.05,66.27
88,25,5,8,1000,1.40%,0.014,22.73
88,36,6,11,1000,0.50%,0.005,21.72
88,40,6,13,1000,0.10%,0.001,26.18
88,49,7,16,1000,0.10%,0.001,27.5
89,16,4,5,1000,1.70%,0.017,13.86
89,20,4,6,1000,9.40%,0.094,36.39
89,25,5,8,1000,3.70%,0.037,21.68
89,36,6,11,1000,1.20%,0.012,22.27
89,40,6,13,1000,0.30%,0.003,22.98
89,49,7,16,1000,1.40%,0.014,31.41
90,16,4,5,1000,3.10%,0.031,44.39
90,20,4,6,1000,12.80%,0.128,48.0
90,25,5,8,1000,5.20%,0.052,21.86
90,36,6,11,1000,1.90%,0.019,22.42
90,40,6,13,1000,0.70%,0.007,22.55
90,49,7,16,1000,1.60%,0.016,29.3
91,16,4,5,1000,6.70%,0.067,20.23
91,20,4,6,1000,16.30%,0.163,57.6
91,25,5,8,1000,10.00%,0.1,21.78
91,36,6,11,1000,2.20%,0.022,21.99
91,40,6,13,1000,2.60%,0.026,22.79
91,49,7,16,1000,6.50%,0.065,28.37
92,16,4,5,1000,10.10%,0.101,37.68
92,20,4,6,1000,24.40%,0.244,54.77
92,25,5,8,1000,16.60%,0.166,21.83
92,36,6,11,1000,4.30%,0.043,22.11
92,40,6,13,1000,4.90%,0.049,23.25
92,49,7,16,1000,10.30%,0.103,28.14
93,16,4,5,1000,14.20%,0.142,26.65
93,20,4,6,1000,32.30%,0.323,43.82
93,25,5,8,1000,22.60%,0.226,22.12
93,36,6,11,1000,8.10%,0.081,22.08
93,40,6,13,1000,7.40%,0.074,24.2
93,49,7,16,1000,24.70%,0.247,28.17
94,16,4,5,1000,23.30%,0.233,23.68
94,20,4,6,1000,43.20%,0.432,37.85
94,25,5,8,1000,32.70%,0.327,21.76
94,36,6,11,1000,12.50%,0.125,22.39
94,40,6,13,1000,16.40%,0.164,24.27
94,49,7,16,1000,35.00%,0.35,30.8
95,16,4,5,1000,34.80%,0.348,22.89
95,20,4,6,1000,55.40%,0.554,33.13
95,25,5,8,1000,44.30%,0.443,22.1
95,36,6,11,1000,16.60%,0.166,22.43
95,40,6,13,1000,23.90%,0.239,23.68
95,49,7,16,1000,56.30%,0.563,28.91
96,16,4,5,1000,51.80%,0.518,22.73
96,20,4,6,1000,67.70%,0.677,25.01
96,25,5,8,1000,57.50%,0.575,21.8
96,36,6,11,1000,26.40%,0.264,22.47
96,40,6,13,1000,40.30%,0.403,24.51
96,49,7,16,1000,73.40%,0.734,28.89
97,16,4,5,1000,66.00%,0.66,21.2
97,20,4,6,1000,80.70%,0.807,21.69
97,25,5,8,1000,75.60%,0.756,21.81
97,36,6,11,1000,34.60%,0.346,22.61
97,40,6,13,1000,58.60%,0.586,24.34
97,49,7,16,1000,89.60%,0.896,28.45
98,16,4,5,1000,81.90%,0.819,26.42
98,20,4,6,1000,89.50%,0.895,21.17
98,25,5,8,1000,86.70%,0.867,21.78
98,36,6,11,1000,52.40%,0.524,22.8
98,40,6,13,1000,76.60%,0.766,23.85
98,49,7,16,1000,96.90%,0.969,28.4
99,16,4,5,1000,96.60%,0.966,15.09
99,20,4,6,1000,97.40%,0.974,18.47
99,25,5,8,1000,96.20%,0.962,21.77
99,36,6,11,1000,72.40%,0.724,22.26
99,40,6,13,1000,94.50%,0.945,23.77
99,49,7,16,1000,99.80%,0.998,30.47
100,16,4,5,1000,100.00%,1.0,13.11
100,20,4,6,1000,100.00%,1.0,17.64
100,25,5,8,1000,100.00%,1.0,21.88
100,36,6,11,1000,100.00%,1.0,22.49
100,40,6,13,1000,100.00%,1.0,23.8
100,49,7,16,1000,100.00%,1.0,30.33
