N,DR,K,f,q_global,groups,P_phase,P_first_view_theory,P_final_3views,P_final_5views,P_first_view_exp,P_final_exp
16,90,4,5,11,"[4, 4, 4, 4]",0.3344720876511229,0.037417920047722486,0.10810584677864843,0.17360275334663455,0.034,0.082
18,90,4,5,11,"[5, 5, 4, 4]",0.6302827939948102,0.2503838739801545,0.5787724558398046,0.7633019917790136,0.205,0.593
20,90,4,6,13,"[5, 5, 5, 5]",0.7458122661763013,0.4148475842395413,0.7996418527759506,0.9313966992567502,0.101,0.519
22,90,5,7,15,"[5, 5, 4, 4, 4]",0.43237528326380753,0.08083186116976483,0.223422352557213,0.3438927906321202,0.06,0.217
24,90,5,7,15,"[5, 5, 5, 5, 4]",0.737687570767372,0.4014369999616011,0.7855482459818881,0.9231667263120265,0.226,0.701
26,90,5,8,17,"[6, 5, 5, 5, 5]",0.7947630179257329,0.5020106731430258,0.8765019487762997,0.9693733021301637,0.074,0.632
28,90,5,9,19,"[6, 6, 6, 5, 5]",0.8076278235218579,0.5267855058369326,0.8940321520113134,0.9762704123693137,0.019,0.302
30,90,5,9,19,"[6, 6, 6, 6, 6]",0.9355180995867861,0.8187599349110913,0.9940466333752644,0.9998044440441404,0.039,0.552
32,90,6,10,21,"[6, 6, 5, 5, 5, 5]",0.8301965364616573,0.5721932780930846,0.9217034164041861,0.9856702695660071,0.081,0.524
34,90,6,11,23,"[6, 6, 6, 6, 5, 5]",0.8469385626802121,0.6075132055324298,0.9395390248540789,0.9906862356463365,0.006,0.176
36,90,6,11,23,"[6, 6, 6, 6, 6, 6]",0.946481947557384,0.8478851030447808,0.9964802222409256,0.9999185560670174,0.018,0.36
38,90,6,12,25,"[7, 7, 6, 6, 6, 6]",0.7475164109246861,0.417697806599161,0.8025553920536793,0.9330513028305895,0.047,0.091
40,90,6,13,27,"[7, 7, 7, 7, 6, 6]",0.5464958854054406,0.16321523303054963,0.4140759874541867,0.5897308817880047,0.013,0.044
42,90,6,13,27,"[7, 7, 7, 7, 7, 7]",0.46924868308030454,0.1033258977659471,0.2790521020519251,0.42034026603338115,0.036,0.131
44,90,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.7805976435311208,0.475643654982496,0.8558284449708273,0.9603600919927155,0.028,0.068
46,90,7,15,31,"[7, 7, 7, 7, 6, 6, 6]",0.5775091993447461,0.19260906363852487,0.47367789619240097,0.6569010816435084,0.012,0.042
48,90,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.5490642160633326,0.16552722014911678,0.4189192020594311,0.5953673961712858,0.053,0.127
50,90,7,16,33,"[8, 7, 7, 7, 7, 7, 7]",0.4971768690258296,0.12289458437157093,0.32523060311132623,0.48089051684707584,0.028,0.134
52,90,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.5448467377766523,0.16174209526575078,0.4109760246079134,0.5861068036135133,0.044,0.262
54,90,7,17,35,"[8, 8, 8, 8, 8, 7, 7]",0.7272375399078829,0.3846173462667018,0.7669571671670823,0.9117476555354316,0.121,0.52
56,90,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.7898352858089556,0.4927306699155511,0.8694683535624765,0.9664113130615365,0.049,0.306
58,90,8,19,39,"[8, 8, 7, 7, 7, 7, 7, 7]",0.5089610896271577,0.13184198849692616,0.3456707540042574,0.5068331381011034,0.025,0.09
60,90,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.6762459246565181,0.3092530436636679,0.6704229669044567,0.8427484627363713,0.077,0.261
62,90,8,20,41,"[8, 8, 8, 8, 8, 8, 7, 7]",0.7248572591605115,0.38085308485133346,0.7626544244493931,0.9090152581638521,0.069,0.374
64,90,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.77490415078449,0.4653116880538651,0.847137107845077,0.9562977845673918,0.029,0.191
66,90,8,21,43,"[9, 9, 8, 8, 8, 8, 8, 8]",0.8686718062273346,0.655491672354945,0.9591116888223354,0.9951471303977185,0.052,0.359
68,90,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.8863687795322648,0.6963752889068794,0.9720094557040224,0.9974196086768946,0.069,0.344
70,90,8,23,47,"[9, 9, 9, 9, 9, 9, 8, 8]",0.9063696213204997,0.7445879828421428,0.9833381208180119,0.998913057337848,0.004,0.107
72,90,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.9570250341132824,0.8765362772021378,0.9981180065643256,0.9999713122266877,0.002,0.17
74,90,9,24,49,"[9, 9, 8, 8, 8, 8, 8, 8, 8]",0.8583317301197756,0.6323616186076901,0.9503107391943804,0.9932840999080176,0.044,0.28
76,90,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.8731435567813068,0.6656668973352914,0.9626287059811471,0.9958226881947607,0.042,0.234
78,90,9,25,51,"[9, 9, 9, 9, 9, 9, 8, 8, 8]",0.9341346744671533,0.8151330070613148,0.993682021683936,0.9997840780045819,0.062,0.348
80,90,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.945594397642895,0.8455020627049062,0.9963121940848733,0.9999119735013571,0.002,0.081
82,90,9,27,55,"[10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9053048629401096,0.7419669484728384,0.9828198870288817,0.998856129941674,0.0,0.029
84,90,9,27,55,"[10, 10, 10, 9, 9, 9, 9, 9, 9]",0.8458941131692178,0.6052684097579816,0.9384956755449037,0.9904168249509535,0.036,0.092
86,90,9,28,57,"[10, 10, 10, 10, 10, 9, 9, 9, 9]",0.7326702990131354,0.393301641860893,0.7766847102646521,0.917801461038159,0.013,0.063
88,90,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 9, 9]",0.6218073656391557,0.24041833578019145,0.5617484933021255,0.7471445241898608,0.029,0.157
90,90,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.6053302551248516,0.22180796789147406,0.5287402600352317,0.7146131888424563,0.036,0.119
92,90,10,30,61,"[10, 10, 9, 9, 9, 9, 9, 9, 9, 9]",0.8956851482401663,0.7185650983433436,0.977708778664052,0.9982344103530755,0.025,0.103
94,90,10,31,63,"[10, 10, 10, 10, 9, 9, 9, 9, 9, 9]",0.791544771264115,0.49593693449839094,0.8719278710467657,0.9674594880339203,0.015,0.047
96,90,10,31,63,"[10, 10, 10, 10, 10, 10, 9, 9, 9, 9]",0.7549089374366457,0.4302131699684811,0.8150146990731105,0.9399432212971316,0.035,0.195
98,90,10,32,65,"[10, 10, 10, 10, 10, 10, 10, 10, 9, 9]",0.6511502830988732,0.27608556549467506,0.6206311142346389,0.801190935520995,0.045,0.164
100,90,10,33,67,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.548754923112956,0.1652476486520191,0.41833497187811397,0.5946891261897218,0.02,0.052
16,92,4,5,11,"[4, 4, 4, 4]",0.4639082928430018,0.09983812315401154,0.2706065685089003,0.40897877194438714,0.116,0.231
18,92,4,5,11,"[5, 5, 4, 4]",0.7551403395613391,0.4306089107877319,0.8153998715498555,0.9401514915329032,0.352,0.845
20,92,4,6,13,"[5, 5, 5, 5]",0.8622122572527072,0.6409771939512281,0.953722902640708,0.9940350036155907,0.249,0.84
22,92,5,7,15,"[5, 5, 4, 4, 4]",0.5872059606702159,0.2024749806965274,0.492737276827224,0.6773574946333474,0.126,0.477
24,92,5,7,15,"[5, 5, 5, 5, 4]",0.8593510388068156,0.6346171711998781,0.951219707362315,0.9934876059785506,0.429,0.935
