Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,First-View Success Rate (%),First-View Raw Reliability,Avg Latency (ms)
95,16,4,5,1000,66.70%,0.667,33.70%,0.337,851.2
95,20,4,6,1000,99.20%,0.992,58.60%,0.586,352.54
95,24,5,7,1000,100.00%,1.0,78.20%,0.782,192.15
95,28,5,9,1000,96.70%,0.967,18.60%,0.186,778.47
95,32,6,10,1000,99.70%,0.997,52.50%,0.525,354.95
95,36,6,11,1000,98.00%,0.98,19.00%,0.19,735.31
95,40,6,13,1000,84.20%,0.842,23.90%,0.239,880.28
95,44,7,14,1000,73.00%,0.73,43.20%,0.432,584.6
95,48,7,15,1000,98.30%,0.983,62.40%,0.624,400.95
95,52,7,17,1000,100.00%,1.0,69.30%,0.693,251.48
95,56,7,18,1000,99.90%,0.999,60.70%,0.607,326.51
95,60,8,19,1000,99.80%,0.998,73.40%,0.734,245.8
95,64,8,21,1000,99.70%,0.997,57.40%,0.574,386.98
95,68,8,22,1000,99.90%,0.999,66.10%,0.661,313.02
95,72,8,23,1000,95.70%,0.957,8.50%,0.085,966.58
95,76,9,25,1000,99.40%,0.994,60.80%,0.608,369.83
95,80,9,26,1000,92.80%,0.928,6.30%,0.063,1094.27
98,16,4,5,1000,99.10%,0.991,82.80%,0.828,219.04
98,20,4,6,1000,100.00%,1.0,89.40%,0.894,73.09
98,24,5,7,1000,100.00%,1.0,98.80%,0.988,27.74
98,28,5,9,1000,100.00%,1.0,60.80%,0.608,244.68
98,32,6,10,1000,100.00%,1.0,88.70%,0.887,79.62
98,36,6,11,1000,100.00%,1.0,53.60%,0.536,276.82
98,40,6,13,1000,100.00%,1.0,77.30%,0.773,158.3
98,44,7,14,1000,99.90%,0.999,86.10%,0.861,157.57
98,48,7,15,1000,100.00%,1.0,98.70%,0.987,33.83
98,52,7,17,1000,100.00%,1.0,98.00%,0.98,39.34
98,56,7,18,1000,100.00%,1.0,95.90%,0.959,51.98
98,60,8,19,1000,100.00%,1.0,99.00%,0.99,40.55
98,64,8,21,1000,100.00%,1.0,95.60%,0.956,62.31
98,68,8,22,1000,100.00%,1.0,96.70%,0.967,60.66
98,72,8,23,1000,100.00%,1.0,46.30%,0.463,360.27
98,76,9,25,1000,100.00%,1.0,96.10%,0.961,69.63
98,80,9,26,1000,100.00%,1.0,40.30%,0.403,412.55
99,16,4,5,1000,100.00%,1.0,94.70%,0.947,59.37
99,20,4,6,1000,100.00%,1.0,97.10%,0.971,30.01
99,24,5,7,1000,100.00%,1.0,99.80%,0.998,22.39
99,28,5,9,1000,100.00%,1.0,77.50%,0.775,138.32
99,32,6,10,1000,100.00%,1.0,97.70%,0.977,33.56
99,36,6,11,1000,100.00%,1.0,73.80%,0.738,157.29
99,40,6,13,1000,100.00%,1.0,94.60%,0.946,50.05
99,44,7,14,1000,99.90%,0.999,95.70%,0.957,54.42
99,48,7,15,1000,100.00%,1.0,99.90%,0.999,26.81
99,52,7,17,1000,100.00%,1.0,99.50%,0.995,30.49
99,56,7,18,1000,100.00%,1.0,99.60%,0.996,32.35
99,60,8,19,1000,100.00%,1.0,99.90%,0.999,36.85
99,64,8,21,1000,100.00%,1.0,99.20%,0.992,42.49
99,68,8,22,1000,100.00%,1.0,99.80%,0.998,43.31
99,72,8,23,1000,100.00%,1.0,69.20%,0.692,208.94
99,76,9,25,1000,100.00%,1.0,99.40%,0.994,51.68
99,80,9,26,1000,100.00%,1.0,60.70%,0.607,264.67
