Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,Avg Latency (ms)
95,16,4,5,3000,35.63%,0.35633333333333334,29.96
95,20,4,6,3000,54.47%,0.5446666666666666,30.33
95,25,5,8,3000,48.57%,0.4856666666666667,21.79
95,28,5,9,3000,21.73%,0.21733333333333332,21.68
95,32,6,10,3000,49.87%,0.49866666666666665,22.24
95,36,6,11,3000,18.10%,0.181,22.34
95,40,6,13,3000,24.50%,0.245,23.3
95,44,7,14,3000,41.40%,0.414,25.65
95,49,7,16,3000,56.27%,0.5626666666666666,28.2
95,52,7,17,3000,67.90%,0.679,30.32
98,16,4,5,3000,82.10%,0.821,21.88
98,20,4,6,3000,90.40%,0.904,18.57
98,25,5,8,3000,87.33%,0.8733333333333333,21.82
98,28,5,9,3000,59.17%,0.5916666666666667,21.68
98,32,6,10,3000,89.10%,0.891,22.03
98,36,6,11,3000,54.27%,0.5426666666666666,22.52
98,40,6,13,3000,77.93%,0.7793333333333333,23.12
98,44,7,14,3000,86.83%,0.8683333333333333,25.29
98,49,7,16,3000,97.57%,0.9756666666666667,27.25
98,52,7,17,3000,98.30%,0.983,28.69
99,16,4,5,3000,95.63%,0.9563333333333334,15.86
99,20,4,6,3000,96.93%,0.9693333333333334,15.34
99,25,5,8,3000,96.87%,0.9686666666666667,21.93
99,28,5,9,3000,77.30%,0.773,21.6
99,32,6,10,3000,97.27%,0.9726666666666667,22.11
99,36,6,11,3000,71.83%,0.7183333333333334,22.32
99,40,6,13,3000,92.97%,0.9296666666666666,23.95
99,44,7,14,3000,96.47%,0.9646666666666667,26.16
99,49,7,16,3000,99.77%,0.9976666666666667,28.82
99,52,7,17,3000,99.87%,0.9986666666666667,29.55
